s,%/m,%/m,kg/m3,kg/m3,kg/m3,kg/m3,kg/m3,kg/m3,kg/m3,kg/m3,kg/m3,kg/m3,kg/m3,kg/m3,m,m,m,m,C,C,C,C,kW/m2,kW/m2,kW/m2,kW/m2,mol/mol,mol/mol,mol/mol,mol/mol,kg/m3,kg/m3,kg/m3,kg/m3,kg/m3,kg/m3,kg/m3,kg/m3,kg/m3,kg/m3,kg/m3,kg/m3,kg/m3,kg/m3,kg/m3,kg/m3,kg/m3,kg/m3,m,m,m,m,m,m,C,C,C,C,C,C,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol
Time,"Smoke detector LD1_00","Smoke detector LD3_00","CD1","CD2","CD3","CD4","CM1","CM2","CM3","CM4","HCN1","HCN2","HCN3","HCN4","VIS1","VIS2","VIS3","VIS4","TEMP1","TEMP2","TEMP3","TEMP4","RAD1","RAD2","RAD3","RAD4","WATER1","WATER2","WATER3","WATER4","CD5","CD6","CD7","CD8","CD9","CD10","CM5","CM6","CM7","CM8","CM9","CM10","HCN5","HCN6","HCN7","HCN8","HCN9","HCN10","VIS5","VIS6","VIS7","VIS9","VIS8","VIS10","TEMP5","TEMP6","TEMP7","TEMP8","TEMP9","TEMP10","RAD5","RAD6","RAD7","RAD8","RAD9","RAD10","WATER5","WATER6","WATER7","WATER8","WATER9","WATER10"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.0680718E-004, 7.0680718E-004, 7.0680718E-004, 7.0680718E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 7.0680718E-004, 7.0680718E-004, 7.0680718E-004, 7.0680718E-004, 7.0680718E-004, 7.0680718E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003
 1.0425721E+000, 0.0000000E+000, 0.0000000E+000, 7.0680723E-004, 7.0680718E-004, 7.0680707E-004, 7.0680708E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 1.9999948E+001, 1.9999967E+001, 2.0000012E+001, 2.0000009E+001,-1.8274705E-004,-9.4483723E-005,-6.8190294E-005,-2.4637049E-005, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 7.0680724E-004, 7.0680714E-004, 7.0680718E-004, 7.0680714E-004, 7.0680714E-004, 7.0680724E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 1.9999943E+001, 1.9999985E+001, 1.9999967E+001, 1.9999982E+001, 1.9999984E+001, 1.9999940E+001,-1.2271263E-004,-1.3884748E-005,-1.9278752E-004,-8.1815294E-005,-1.6443434E-004,-1.7959137E-004, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003
 2.0851441E+000, 0.0000000E+000, 0.0000000E+000, 7.0680726E-004, 7.0680718E-004, 7.0680689E-004, 7.0680691E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 1.9999891E+001, 1.9999924E+001, 2.0000048E+001, 2.0000037E+001,-5.7812959E-005,-3.6234420E-005,-2.5350943E-005,-7.5902759E-006, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 7.0680736E-004, 7.0680709E-004, 7.0680718E-004, 7.0680708E-004, 7.0680703E-004, 7.0680737E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 1.9999850E+001, 1.9999962E+001, 1.9999927E+001, 1.9999968E+001, 1.9999986E+001, 1.9999848E+001,-4.8130062E-005,-4.2209026E-006,-9.2961258E-005,-2.9105554E-005,-6.9358115E-005,-7.7282166E-005, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003
 3.0234590E+000, 0.0000000E+000, 0.0000000E+000, 7.0680726E-004, 7.0680718E-004, 7.0680675E-004, 7.0680680E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 1.9999874E+001, 1.9999910E+001, 2.0000086E+001, 2.0000069E+001,-1.8089379E-005,-1.2798118E-005,-9.8103554E-006,-2.9123165E-006, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 7.0680746E-004, 7.0680708E-004, 7.0680716E-004, 7.0680703E-004, 7.0680693E-004, 7.0680745E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 1.9999791E+001, 1.9999949E+001, 1.9999918E+001, 1.9999972E+001, 2.0000015E+001, 1.9999799E+001,-1.6682396E-005,-1.5219549E-006,-4.7622385E-005,-9.5925984E-006,-2.7950381E-005,-2.9854507E-005, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003
 4.0660311E+000, 0.0000000E+000, 0.0000000E+000, 7.0680725E-004, 7.0680716E-004, 7.0680665E-004, 7.0680670E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 1.9999872E+001, 1.9999909E+001, 2.0000122E+001, 2.0000100E+001,-6.4898731E-006,-4.9100620E-006,-3.4313196E-006,-1.1046915E-006, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 7.0680756E-004, 7.0680709E-004, 7.0680713E-004, 7.0680698E-004, 7.0680682E-004, 7.0680751E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 1.9999747E+001, 1.9999941E+001, 1.9999922E+001, 1.9999985E+001, 2.0000052E+001, 1.9999767E+001,-6.3919546E-006,-6.4872458E-007,-1.3978402E-005,-3.8150886E-006,-1.1722592E-005,-1.1182367E-005, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003
 5.0043459E+000, 0.0000000E+000, 0.0000000E+000, 7.0680724E-004, 7.0680715E-004, 7.0680657E-004, 7.0680662E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 1.9999874E+001, 1.9999913E+001, 2.0000154E+001, 2.0000131E+001,-3.0836707E-006,-2.2853799E-006,-1.6766747E-006,-5.2756259E-007, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 7.0680764E-004, 7.0680710E-004, 7.0680710E-004, 7.0680694E-004, 7.0680672E-004, 7.0680756E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 1.9999711E+001, 1.9999934E+001, 1.9999931E+001, 2.0000000E+001, 2.0000090E+001, 1.9999743E+001,-2.9948980E-006,-3.1441035E-007,-5.8538977E-006,-1.8014834E-006,-5.2937081E-006,-5.1474500E-006, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003
 6.0469180E+000, 0.0000000E+000, 0.0000000E+000, 7.0680723E-004, 7.0680713E-004, 7.0680650E-004, 7.0680655E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 1.9999878E+001, 1.9999921E+001, 2.0000180E+001, 2.0000159E+001,-1.6745634E-006,-1.2115317E-006,-8.9176849E-007,-3.1679150E-007, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 7.0680771E-004, 7.0680711E-004, 7.0680708E-004, 7.0680690E-004, 7.0680663E-004, 7.0680761E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 1.9999680E+001, 1.9999928E+001, 1.9999940E+001, 2.0000016E+001, 2.0000127E+001, 1.9999721E+001,-1.5857118E-006,-2.0389173E-007,-3.0051098E-006,-9.8404576E-007,-2.7168089E-006,-2.6607556E-006, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003
 7.0894901E+000, 0.0000000E+000, 0.0000000E+000, 7.0680722E-004, 7.0680710E-004, 7.0680645E-004, 7.0680648E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 1.9999881E+001, 1.9999932E+001, 2.0000203E+001, 2.0000187E+001,-9.3523966E-007,-7.1832241E-007,-5.2023279E-007,-2.0340117E-007, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 7.0680778E-004, 7.0680712E-004, 7.0680707E-004, 7.0680685E-004, 7.0680655E-004, 7.0680766E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 1.9999651E+001, 1.9999922E+001, 1.9999946E+001, 2.0000034E+001, 2.0000162E+001, 1.9999701E+001,-9.1763355E-007,-1.4677591E-007,-1.7085774E-006,-6.1025581E-007,-1.4019243E-006,-1.3991069E-006, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003
 8.0278049E+000, 0.0000000E+000, 0.0000000E+000, 7.0680722E-004, 7.0680707E-004, 7.0680640E-004, 7.0680642E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 1.9999883E+001, 1.9999944E+001, 2.0000221E+001, 2.0000212E+001,-6.5383884E-007,-5.2751536E-007,-3.8568738E-007,-1.5741448E-007, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 7.0680783E-004, 7.0680714E-004, 7.0680706E-004, 7.0680682E-004, 7.0680647E-004, 7.0680770E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 1.9999628E+001, 1.9999917E+001, 1.9999950E+001, 2.0000050E+001, 2.0000193E+001, 1.9999684E+001,-6.6942315E-007,-1.2065643E-007,-1.2083591E-006,-4.5273182E-007,-9.6888436E-007,-9.7326493E-007, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003
 9.0703770E+000, 0.0000000E+000, 0.0000000E+000, 7.0680722E-004, 7.0680704E-004, 7.0680637E-004, 7.0680637E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 1.9999884E+001, 1.9999957E+001, 2.0000235E+001, 2.0000236E+001,-5.3529694E-007,-4.3823739E-007,-3.2041268E-007,-1.3633406E-007, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 7.0680788E-004, 7.0680715E-004, 7.0680705E-004, 7.0680678E-004, 7.0680640E-004, 7.0680774E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 1.9999607E+001, 1.9999911E+001, 1.9999951E+001, 2.0000065E+001, 2.0000221E+001, 1.9999667E+001,-5.5619332E-007,-1.0960818E-007,-9.2522203E-007,-3.8130280E-007,-7.8541253E-007,-7.8690736E-007, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003
 1.0008692E+001, 0.0000000E+000, 0.0000000E+000, 7.0680721E-004, 7.0680701E-004, 7.0680634E-004, 7.0680631E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 1.9999885E+001, 1.9999970E+001, 2.0000247E+001, 2.0000258E+001,-4.6729661E-007,-3.8990774E-007,-2.8412992E-007,-1.2191388E-007, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 7.0680793E-004, 7.0680716E-004, 7.0680706E-004, 7.0680675E-004, 7.0680634E-004, 7.0680778E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 1.9999589E+001, 1.9999906E+001, 1.9999951E+001, 2.0000079E+001, 2.0000246E+001, 1.9999652E+001,-4.9554331E-007,-1.0218040E-007,-8.0128090E-007,-3.4137280E-007,-6.7700825E-007,-6.8340222E-007, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003
 1.1051264E+001, 0.0000000E+000, 0.0000000E+000, 7.0680721E-004, 7.0680698E-004, 7.0680632E-004, 7.0680626E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 1.9999885E+001, 1.9999984E+001, 2.0000256E+001, 2.0000279E+001,-4.2457731E-007,-3.5788808E-007,-2.6131778E-007,-1.1220015E-007, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 7.0680797E-004, 7.0680717E-004, 7.0680706E-004, 7.0680671E-004, 7.0680629E-004, 7.0680781E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 1.9999573E+001, 1.9999901E+001, 1.9999948E+001, 2.0000093E+001, 2.0000268E+001, 1.9999638E+001,-4.5681776E-007,-9.7019711E-008,-7.2965637E-007,-3.1369235E-007,-6.1189983E-007,-6.2141192E-007, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003
