s,%/m,%/m,kg/m3,kg/m3,kg/m3,kg/m3,kg/m3,kg/m3,kg/m3,kg/m3,kg/m3,kg/m3,kg/m3,kg/m3,m,m,m,m,C,C,C,C,kW/m2,kW/m2,kW/m2,kW/m2,mol/mol,mol/mol,mol/mol,mol/mol,kg/m3,kg/m3,kg/m3,kg/m3,kg/m3,kg/m3,kg/m3,kg/m3,kg/m3,kg/m3,kg/m3,kg/m3,kg/m3,kg/m3,kg/m3,kg/m3,kg/m3,kg/m3,m,m,m,m,m,m,C,C,C,C,C,C,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol
 1.2093836E+001, 0.0000000E+000, 0.0000000E+000, 7.0680721E-004, 7.0680694E-004, 7.0680630E-004, 7.0680621E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 1.9999885E+001, 1.9999999E+001, 2.0000263E+001, 2.0000300E+001,-3.9602437E-007,-3.3475237E-007,-2.4463549E-007,-1.0488625E-007, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 7.0680800E-004, 7.0680719E-004, 7.0680707E-004, 7.0680668E-004, 7.0680624E-004, 7.0680784E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 1.9999559E+001, 1.9999896E+001, 1.9999944E+001, 2.0000107E+001, 2.0000289E+001, 1.9999624E+001,-4.2989273E-007,-9.3399607E-008,-6.7393709E-007,-2.9362351E-007,-5.6689141E-007,-5.7941235E-007, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003
 1.3032151E+001, 0.0000000E+000, 0.0000000E+000, 7.0680722E-004, 7.0680691E-004, 7.0680629E-004, 7.0680617E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 1.9999885E+001, 2.0000013E+001, 2.0000268E+001, 2.0000318E+001,-3.7596741E-007,-3.1824090E-007,-2.3284926E-007,-9.9041541E-008, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 7.0680803E-004, 7.0680720E-004, 7.0680709E-004, 7.0680665E-004, 7.0680620E-004, 7.0680787E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 1.9999547E+001, 1.9999891E+001, 1.9999938E+001, 2.0000120E+001, 2.0000306E+001, 1.9999612E+001,-4.1132141E-007,-9.0689214E-008,-6.3663863E-007,-2.7891758E-007,-5.3501877E-007,-5.5075402E-007, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003
 1.4074723E+001, 0.0000000E+000, 0.0000000E+000, 7.0680722E-004, 7.0680687E-004, 7.0680628E-004, 7.0680613E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 1.9999884E+001, 2.0000027E+001, 2.0000271E+001, 2.0000336E+001,-3.6021556E-007,-3.0476568E-007,-2.2354492E-007,-9.4190943E-008, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 7.0680805E-004, 7.0680721E-004, 7.0680710E-004, 7.0680662E-004, 7.0680616E-004, 7.0680790E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 1.9999537E+001, 1.9999885E+001, 1.9999932E+001, 2.0000132E+001, 2.0000322E+001, 1.9999601E+001,-3.9664523E-007,-8.8460341E-008,-6.0815746E-007,-2.6673327E-007,-5.0992749E-007,-5.2860492E-007, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003
 1.5013038E+001, 0.0000000E+000, 0.0000000E+000, 7.0680722E-004, 7.0680684E-004, 7.0680628E-004, 7.0680609E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 1.9999883E+001, 2.0000042E+001, 2.0000273E+001, 2.0000354E+001,-3.4751445E-007,-2.9346548E-007,-2.1582386E-007,-9.0204901E-008, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 7.0680807E-004, 7.0680723E-004, 7.0680712E-004, 7.0680659E-004, 7.0680613E-004, 7.0680792E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 1.9999529E+001, 1.9999879E+001, 1.9999925E+001, 2.0000144E+001, 2.0000336E+001, 1.9999591E+001,-3.8453423E-007,-8.6792451E-008,-5.8430351E-007,-2.5666153E-007,-4.8974361E-007,-5.1078511E-007, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003
 1.6055610E+001, 0.0000000E+000, 0.0000000E+000, 7.0680722E-004, 7.0680680E-004, 7.0680628E-004, 7.0680605E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 1.9999881E+001, 2.0000056E+001, 2.0000274E+001, 2.0000370E+001,-3.3658245E-007,-2.8365981E-007,-2.0924403E-007,-8.6450248E-008, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 7.0680809E-004, 7.0680724E-004, 7.0680714E-004, 7.0680656E-004, 7.0680609E-004, 7.0680794E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 1.9999522E+001, 1.9999874E+001, 1.9999917E+001, 2.0000156E+001, 2.0000350E+001, 1.9999583E+001,-3.7421617E-007,-8.5325598E-008,-5.6468373E-007,-2.4786635E-007,-4.7215298E-007,-4.9541429E-007, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003
 1.7098182E+001, 0.0000000E+000, 0.0000000E+000, 7.0680723E-004, 7.0680677E-004, 7.0680628E-004, 7.0680601E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 1.9999879E+001, 2.0000071E+001, 2.0000273E+001, 2.0000386E+001,-3.2679902E-007,-2.7459202E-007,-2.0333288E-007,-8.3036125E-008, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 7.0680811E-004, 7.0680726E-004, 7.0680716E-004, 7.0680653E-004, 7.0680606E-004, 7.0680797E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 1.9999515E+001, 1.9999867E+001, 1.9999909E+001, 2.0000168E+001, 2.0000365E+001, 1.9999574E+001,-3.6488802E-007,-8.4051917E-008,-5.4680569E-007,-2.3971157E-007,-4.5625238E-007,-4.8181934E-007, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003
 1.8036497E+001, 0.0000000E+000, 0.0000000E+000, 7.0680723E-004, 7.0680673E-004, 7.0680628E-004, 7.0680597E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 1.9999878E+001, 2.0000085E+001, 2.0000272E+001, 2.0000401E+001,-3.1857894E-007,-2.6671600E-007,-1.9826997E-007,-8.0142292E-008, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 7.0680812E-004, 7.0680728E-004, 7.0680718E-004, 7.0680651E-004, 7.0680603E-004, 7.0680798E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 1.9999510E+001, 1.9999860E+001, 1.9999901E+001, 2.0000179E+001, 2.0000378E+001, 1.9999567E+001,-3.5686315E-007,-8.3081976E-008,-5.3129391E-007,-2.3271106E-007,-4.4289353E-007,-4.7038278E-007, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003
 1.9079069E+001, 0.0000000E+000, 0.0000000E+000, 7.0680724E-004, 7.0680670E-004, 7.0680629E-004, 7.0680594E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 1.9999876E+001, 2.0000098E+001, 2.0000269E+001, 2.0000415E+001,-3.1128182E-007,-2.5965267E-007,-1.9385034E-007,-7.7340466E-008, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 7.0680813E-004, 7.0680729E-004, 7.0680720E-004, 7.0680648E-004, 7.0680600E-004, 7.0680800E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 1.9999506E+001, 1.9999853E+001, 1.9999892E+001, 2.0000190E+001, 2.0000390E+001, 1.9999560E+001,-3.4975743E-007,-8.2226063E-008,-5.1811887E-007,-2.2640271E-007,-4.3073728E-007,-4.6004249E-007, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003
 2.0017384E+001, 0.0000000E+000, 0.0000000E+000, 7.0680724E-004, 7.0680667E-004, 7.0680630E-004, 7.0680591E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 1.9999874E+001, 2.0000111E+001, 2.0000265E+001, 2.0000428E+001,-3.0488147E-007,-2.5329426E-007,-1.8996470E-007,-7.4933203E-008, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 7.0680814E-004, 7.0680731E-004, 7.0680722E-004, 7.0680646E-004, 7.0680597E-004, 7.0680802E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 1.9999503E+001, 1.9999846E+001, 1.9999884E+001, 2.0000200E+001, 2.0000401E+001, 1.9999554E+001,-3.4346213E-007,-8.1547970E-008,-5.0620901E-007,-2.2071708E-007,-4.2010714E-007,-4.5117070E-007, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003
 2.1059956E+001, 0.0000000E+000, 0.0000000E+000, 7.0680725E-004, 7.0680664E-004, 7.0680631E-004, 7.0680588E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 1.9999871E+001, 2.0000123E+001, 2.0000260E+001, 2.0000441E+001,-2.9908558E-007,-2.4734642E-007,-1.8642295E-007,-7.2679440E-008, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 7.0680814E-004, 7.0680733E-004, 7.0680724E-004, 7.0680643E-004, 7.0680595E-004, 7.0680803E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 1.9999501E+001, 1.9999838E+001, 1.9999875E+001, 2.0000211E+001, 2.0000410E+001, 1.9999548E+001,-3.3760542E-007,-8.1000686E-008,-4.9524775E-007,-2.1544586E-007,-4.1040397E-007,-4.4300070E-007, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003
 2.2102528E+001, 0.0000000E+000, 0.0000000E+000, 7.0680726E-004, 7.0680661E-004, 7.0680633E-004, 7.0680585E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 1.9999869E+001, 2.0000136E+001, 2.0000255E+001, 2.0000453E+001,-2.9354532E-007,-2.4162648E-007,-1.8309185E-007,-7.0440037E-008, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 7.0680815E-004, 7.0680735E-004, 7.0680726E-004, 7.0680641E-004, 7.0680593E-004, 7.0680805E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 1.9999499E+001, 1.9999829E+001, 1.9999867E+001, 2.0000221E+001, 2.0000418E+001, 1.9999542E+001,-3.3202424E-007,-8.0522542E-008,-4.8509627E-007,-2.1036696E-007,-4.0103213E-007,-4.3511855E-007, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003
 2.3040843E+001, 0.0000000E+000, 0.0000000E+000, 7.0680726E-004, 7.0680659E-004, 7.0680634E-004, 7.0680582E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 1.9999867E+001, 2.0000147E+001, 2.0000249E+001, 2.0000464E+001,-2.8863242E-007,-2.3642845E-007,-1.8011915E-007,-6.8511815E-008, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 7.0680815E-004, 7.0680738E-004, 7.0680728E-004, 7.0680638E-004, 7.0680592E-004, 7.0680806E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 1.9999498E+001, 1.9999820E+001, 1.9999859E+001, 2.0000231E+001, 2.0000425E+001, 1.9999537E+001,-3.2702499E-007,-8.0169688E-008,-4.7578502E-007,-2.0575879E-007,-3.9280057E-007,-4.2826879E-007, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003
 2.4083415E+001, 0.0000000E+000, 0.0000000E+000, 7.0680727E-004, 7.0680656E-004, 7.0680636E-004, 7.0680580E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 1.9999865E+001, 2.0000159E+001, 2.0000243E+001, 2.0000475E+001,-2.8414824E-007,-2.3152309E-007,-1.7741339E-007,-6.6680462E-008, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 7.0680815E-004, 7.0680740E-004, 7.0680730E-004, 7.0680636E-004, 7.0680590E-004, 7.0680807E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 1.9999498E+001, 1.9999810E+001, 1.9999852E+001, 2.0000241E+001, 2.0000431E+001, 1.9999532E+001,-3.2231516E-007,-7.9911194E-008,-4.6722763E-007,-2.0144422E-007,-3.8514540E-007,-4.2184321E-007, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003, 9.4820367E-003
